itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
 203;9;6.258752;62.473559;-447846;-28052;17;0.8;1;
 225;9;9.608428;61.387368;-286875;-167306;766;-6.3;1;
 256;9;24.402558;60.036183;521003;-291547;20;-4.5;1;
 266;9;10.635972;59.912452;-243426;-335219;16;20.9;1;
 243;9;5.732577;60.551931;-505322;-235818;17;1.9;1;
 365;9;10.357667;55.365664;-295551;-840606;22;4.6;1;
 238;9;27.203575;60.557049;663621;-208565;30;-4.4;1;
 246;9;10.456944;60.342167;-250019;-286806;264;-1.8;1;
 271;9;17.687027;59.872947;150138;-344744;28;-1.5;1;
 133;9;22.163284;65.602592;328683;307823;25;-6.6;1;
 223;9;5.881266;61.460972;-482975;-136851;111;2.6;1;
 225;9;8.974841;61.004959;-324473;-206670;1000;-8;1;
 188;9;13.073441;63.401299;-95904;46060;380;-11.9;1;
 184;9;7.711767;63.120204;-365622;34108;33;6.7;1;
 272;9;18.387109;59.323316;192446;-404032;60;-1.6;1;
 205;9;8.201483;62.258558;-351260;-63861;570;25.2;1;
 346;9;11.515932;55.505191;-221048;-829648;48;3.7;1;
 150;9;15.635548;65.508987;29325;279223;443;-16.1;1;
 266;9;10.470928;59.955353;-252281;-329817;230;-1.7;1;
 346;9;11.68882;55.567927;-209727;-823206;36;3;1;
 173;9;20.304786;63.828783;259896;102886;50;-9.4;1;
 312;9;18.34593;57.412471;201194;-617014;50;0.5;1;
 262;9;5.717675;58.970041;-531471;-410044;52;3.6;1;
 344;9;8.846082;56.168135;-382937;-743044;54;4.4;1;
 156;9;25.494759;65.067704;490076;270049;14;-9.1;1;
 246;9;11.22319;60.138194;-209236;-312201;201;-3.1;1;
 266;9;10.422611;59.24165;-260622;-408921;21;0.4;1;
 307;9;11.933044;57.560228;-183645;-601367;21;3.4;1;
 271;9;18.090332;59.426965;175043;-393347;13;-1.6;1;
 89;9;14.563861;68.237167;-18061;583261;18;-2.4;1;
 244;9;8.210917;60.556907;-370723;-252152;981;-2.4;1;
 177;9;27.138844;63.558853;597492;118705;100;-7.7;1;
 262;9;5.51594;59.42779;-535443;-357905;19;2;1;
 189;9;14.433604;63.098552;-28496;11084;322;-8.6;1;
 348;9;13.1886;55.730313;-114255;-808802;51;2;1;
 328;9;12.951216;56.582045;-126187;-713058;5;2.4;1;
 307;9;12.074455;57.746311;-174239;-581006;87;2.6;1;
 307;9;12.091123;57.730275;-173328;-582840;29;4.2;1;
 286;9;10.179079;59.141528;-275298;-419033;74;0.4;1;
 264;9;7.449085;59.094309;-431223;-409272;561;2;1;
 242;9;5.477537;60.407459;-521500;-249690;80;0;1;
 367;9;12.162458;55.22311;-181454;-863259;12;3.2;1;
 235;9;23.836376;61.464213;468066;-138582;140;-6.5;1;
 347;9;12.358687;55.879967;-165890;-790240;52;3.7;1;
 328;9;13.025435;57.337678;-119024;-628776;165;2.2;1;
 347;9;12.470218;55.627897;-159999;-818738;5;3;1;
 347;9;12.314471;55.942442;-168373;-783134;50;19.5;1;
 285;9;8.725834;59.064433;-358889;-420427;454;1;1;
 222;9;4.787085;61.138346;-546143;-163582;1;3.7;1;
 327;9;12.486772;56.899485;-153392;-676574;7;3;1;
 245;9;9.559557;60.218716;-300458;-296666;133;-3.5;1;
 246;9;11.121627;60.806917;-210370;-237572;150;-1.6;1;
 244;9;8.194206;60.521506;-372048;-255974;775;-2.6;1;
 348;9;12.928007;55.555222;-131319;-827914;7;2.6;1;
 257;9;25.302493;60.294706;565869;-255497;19;-3.5;1;
 347;9;12.596265;55.71076;-151684;-809766;10;4.3;1;
 186;9;10.369132;63.393993;-230419;52111;128;-5.5;1;
 265;9;9.009895;59.471583;-338469;-376807;730;-3.1;1;
 266;9;9.988792;59.743859;-280919;-351305;35;0.1;1;
 192;9;18.824649;63.259373;191246;34530;23;-7.2;1;
 262;9;5.724271;58.954638;-531343;-411797;54;7.6;1;
 268;9;13.31717;59.536837;-95024;-384071;85;-3;1;
 227;9;12.229713;61.302334;-147936;-185612;534;-0.3;1;
 242;9;5.186013;60.632352;-533538;-222551;65;3.3;1;
 347;9;12.347538;55.863641;-166665;-792038;49;3.9;1;
 366;9;11.38604;54.94026;-232839;-892450;17;2.3;1;
 251;9;17.464561;60.226757;136204;-305878;54;-1.8;1;
 187;9;11.015949;63.822904;-195326;97559;15;-5.4;1;
 271;9;17.077823;59.635691;116966;-372414;16;-0.6;1;
 345;9;10.196239;56.146919;-299277;-752573;16;5.3;1;
 266;9;10.750407;59.918189;-237010;-335009;14;0.6;1;
 247;9;11.567633;60.86569;-185853;-232417;190;-2.2;1;
 307;9;12.027027;57.735129;-177119;-582124;27;3.9;1;
 290;9;15.747622;58.700062;43304;-478314;51;-2.4;1;
 266;9;10.236225;59.605879;-268212;-367685;65;-0.1;1;
 242;9;5.513289;60.519726;-517720;-237620;68;1.4;1;
 250;9;16.724352;60.619655;94136;-263495;90;-3.3;1;
 266;9;10.780681;59.922057;-235296;-334690;79;-1.1;1;
 226;9;10.101038;61.478057;-259949;-159345;911;-8.1;1;
 347;9;12.058063;55.647568;-185949;-815428;13;5.1;1;
 285;9;9.673823;59.038276;-305040;-428224;41;1;1;
 266;9;10.584402;59.938506;-246099;-332128;139;-1.5;1;
 167;9;11.49703;64.46672;-167867;167683;8;-5.4;1;
 266;9;10.438853;59.568517;-257118;-372663;104;-0.3;1;
 242;9;5.456573;60.174311;-526477;-275188;34;2.4;1;
 307;9;12.467874;58.05676;-149457;-547377;99;1.7;1;
 309;9;14.694563;57.652221;-18247;-595432;295;1.8;1;
 367;9;11.88379;54.89644;-201036;-899040;33;8;1;
 133;9;21.688703;65.825119;304417;330116;10;-5.5;1;
 269;9;15.201463;59.255814;11475;-416604;699;-3.5;1;
 366;9;10.656048;54.816138;-280746;-903439;10;1.6;1;
 270;9;15.558137;60.071476;31003;-325641;122;-3.7;1;
 271;9;17.647589;59.795665;148290;-353434;39;-1.1;1;
 345;9;10.04742;56.272142;-307452;-737895;53;4.4;1;
 303;9;7.405315;58.010522;-447952;-528996;18;2.6;1;
 242;9;5.255506;60.259006;-536062;-264204;39;3.8;1;
 235;9;23.427589;61.688372;443281;-116770;114;-8.2;1;
 348;9;13.075793;55.673527;-121559;-814954;10;1.2;1;
 224;9;8.164672;61.132054;-366448;-188248;1318;-7.6;1;
 109;9;14.454703;67.279127;-23488;476378;75;-1.8;1;
 267;9;11.341524;60.03104;-203366;-324491;165;-0.4;1;
 287;9;11.416509;59.142403;-204715;-423554;123;-0.9;1;
 271;9;17.996269;59.238203;170698;-414607;37;-0.9;1;
 347;9;12.588991;55.612236;-152557;-820781;3;2.3;1;
 308;9;14.029556;57.854772;-57633;-572428;227;1.3;1;
 203;9;5.671975;62.353382;-479636;-37053;31;1.1;1;
 347;9;12.50196;55.673621;-157794;-813697;9;3.8;1;
 310;9;16.210769;58.071393;71448;-548015;97;-0.6;1;
 347;9;11.974269;55.667461;-191136;-812955;38;3.5;1;
 365;9;10.118304;55.200979;-312162;-857891;36;3.7;1;
 271;9;17.941038;59.431124;166571;-393281;21;-1.4;1;
 266;9;10.630358;59.702818;-245324;-358489;12;-0.6;1;
 266;9;10.77541;59.922418;-235587;-334631;28;-0.5;1;
 264;9;8.155915;59.719082;-383624;-344581;968;-2.2;1;
 256;9;24.761474;60.190545;538142;-271596;14;-4.5;1;
 367;9;11.751102;55.207312;-207827;-863784;17;3.1;1;
 366;9;10.587239;55.061272;-283300;-875693;34;2.1;1;
 307;9;12.71177;57.463684;-137423;-614084;85;2.4;1;
 242;9;5.30456;60.415797;-530763;-247357;4;10.3;1;
 347;9;12.407584;55.971312;-162408;-780144;30;3.4;1;
 367;9;11.884103;54.752781;-201797;-915148;1;2.3;1;
 186;9;10.378371;63.425766;-229706;55602;10;-2.6;1;
 245;9;9.191063;60.966616;-313246;-211991;360;-0.9;1;
 345;9;10.208046;56.148868;-298527;-752410;54;3.4;1;
 347;9;12.538019;55.668048;-155541;-814409;7;3;1;
 282;9;5.760695;58.865732;-530690;-421905;21;3.9;1;
 246;9;11.153486;60.298568;-212026;-294151;185;-2.2;1;
 235;9;23.559491;61.495814;453021;-137082;119;-5;1;
 348;9;12.982241;55.798061;-127030;-800828;16;2.6;1;
 266;9;10.622874;59.906929;-244197;-335783;21;-0.1;1;
 245;9;9.44371;60.763227;-301610;-235741;839;-5.4;1;
 266;9;10.943914;59.912344;-226273;-336355;217;-3;1;
 284;9;7.9731;58.2686;-411462;-504181;45;-0.5;1;
 256;9;25.01761;60.290259;550427;-258459;14;2.7;1;
 207;9;11.379543;62.582234;-185283;-41237;696;-3.8;1;
 266;9;10.652878;59.611149;-244751;-368761;42;-0.4;1;
 266;9;10.655713;59.927568;-242213;-333614;58;0.9;1;
 287;9;12.68616;58.340234;-135441;-516257;58;0.7;1;
 266;9;10.802976;59.935042;-233960;-333329;107;-2;1;
 262;9;5.19594;59.796405;-547136;-314615;38;2.5;1;
 266;9;10.623921;59.907803;-244132;-335689;21;0;1;
 366;9;11.336977;55.39829;-233072;-840981;37;2.6;1;
 364;9;9.272813;55.263556;-365471;-846442;14;4.4;1;
 267;9;11.481993;60.090306;-195205;-318338;186;-2.8;1;
 329;9;14.335144;57.319928;-40103;-632380;190;1;1;
 191;9;18.461675;63.389671;172335;47969;70;-12.8;1;
 246;9;10.115584;60.097825;-270834;-312551;131;-0.1;1;
 345;9;9.989033;56.054486;-312966;-761905;87;3;1;
 272;9;18.701335;59.760903;207476;-354385;26;-0.4;1;
 153;9;21.046124;64.799656;285977;213600;15;-5.8;1;
 345;9;9.873749;56.255855;-318356;-738867;94;4.3;1;
 266;9;10.210467;59.745593;-268501;-352059;25;0.5;1;
 346;9;10.512813;56.343672;-278052;-732031;4;2.8;1;
 264;9;7.427432;59.487038;-427313;-365672;750;-5.4;1;
 266;9;10.706922;59.916169;-239447;-335072;41;-0.2;1;
 262;9;5.6497;58.939542;-535828;-412843;68;3.8;1;
 283;9;6.280702;58.347041;-508829;-483384;98;2.1;1;
 304;9;8.121177;58.113739;-404669;-522297;16;2;1;
 186;9;10.067966;63.396006;-245358;53448;31;0.8;1;
 267;9;12.114282;59.964089;-160777;-334124;179;-3.3;1;
 347;9;12.780209;55.959518;-139120;-782337;11;2.5;1;
 324;9;8.96883;57.148728;-365051;-634583;7;5.4;1;
 266;9;10.480934;59.417711;-255929;-389588;19;20.1;1;
 264;9;7.935434;59.469349;-398983;-370894;557;-0.9;1;
 364;9;8.79004;55.337563;-395386;-835323;2;3.5;1;
 287;9;12.696254;59.052181;-132007;-436949;70;-0.7;1;
 347;9;11.991275;55.98675;-188390;-777281;12;3;1;
 242;9;5.484488;60.321435;-522534;-259217;0;5.6;1;
 133;9;22.148254;65.617031;327818;309344;9;-6.3;1;
 185;9;8.982676;63.630395;-296770;83993;12;-1.5;1;
 242;9;5.104741;60.374688;-542317;-250213;20;2.4;1;
 347;9;12.192197;55.660594;-177413;-814348;26;2.4;1;
 283;9;6.581907;58.105159;-494876;-512481;7;6.8;1;
 288;9;13.151002;58.476145;-107804;-501985;58;0.8;1;
 271;9;17.960049;59.414648;167732;-395065;36;0.1;1;
 347;9;11.735796;55.955597;-204551;-779985;5;4.1;1;
 266;9;10.399829;59.242035;-261914;-408785;30;0.1;1;
 235;9;23.774464;61.503332;464215;-134720;101;-6.9;1;
 109;9;14.368704;67.274976;-27197;475949;6;-1.8;1;
 307;9;12.276339;57.764899;-162135;-579461;79;3.5;1;
 262;9;5.689058;58.978847;-532957;-408835;41;4.2;1;
 347;9;12.415609;55.965761;-161931;-780785;32;4.2;1;
 347;9;12.674164;56.224314;-144691;-752477;8;2.7;1;
 348;9;13.803777;56.15253;-74579;-762435;46;2.4;1;
 266;9;10.163919;59.751851;-271054;-351169;11;1.5;1;
 211;9;17.681791;62.49536;137681;-53243;10;-6.8;1;
 266;9;10.870532;59.196463;-235479;-415672;53;-0.1;1;
 282;9;5.607468;58.888175;-539065;-418155;12;3.3;1;
 266;9;10.695983;59.899877;-240177;-336841;0;-0.7;1;
 266;9;10.800829;59.909358;-234266;-336175;87;-0.6;1;
 243;9;5.983266;59.946744;-501159;-304470;69;3.6;1;
 307;9;12.094611;57.667493;-173437;-589851;70;3.2;1;
 185;9;7.884044;63.094874;-357326;30341;39;-2.8;1;
 265;9;9.762232;59.495406;-295843;-377874;610;-3.3;1;
 271;9;18.014853;59.325637;171300;-404826;8;2.3;1;
 186;9;10.427734;63.435352;-227181;56489;19;-2.8;1;
 237;9;25.613056;60.974448;570345;-178104;123;-7.3;1;
 267;9;11.331951;59.556906;-206908;-377176;112;-1.6;1;
 242;9;5.224797;60.360091;-536035;-252825;60;1.6;1;
 307;9;11.762239;57.71935;-192970;-583121;28;3.2;1;
 266;9;10.715906;59.91192;-238978;-335578;52;3.9;1;
 266;9;10.818285;59.938901;-233080;-332955;21;1.8;1;
 285;9;8.801366;58.476356;-360892;-486103;58;5.7;1;
 224;9;7.106376;60.950841;-425387;-201762;1;4.2;1;
 309;9;15.219189;58.287066;12853;-524603;129;-1.3;1;
 330;9;16.509615;56.627807;92866;-708859;41;1.5;1;
 186;9;10.504011;63.43531;-223398;56218;0;-1.4;1;
 184;9;6.995088;62.755391;-406434;-1869;28;-3.5;1;
 226;9;10.213942;61.237478;-255960;-186484;353;-2;1;
 223;9;6.255552;61.534098;-462173;-131546;350;14.6;1;
 266;9;10.431765;59.834517;-255414;-343084;104;0.3;1;
 246;9;10.729681;60.620209;-232978;-256957;377;-3.9;1;
 266;9;10.565231;59.900274;-247459;-336301;41;0;1;
 226;9;10.276329;61.568195;-249929;-150042;906;-9.1;1;
 369;9;14.352175;55.542272;-41079;-831275;20;9.5;1;
 344;9;9.1115;55.469292;-373627;-822543;62;2.8;1;
 266;9;11.075059;59.91901;-218921;-336068;197;-2.5;1;
 367;9;11.911393;54.898918;-199243;-898849;16;1.8;1;
 244;9;7.294776;60.40453;-422551;-263354;770;-1.4;1;
 245;9;9.551654;60.21159;-300960;-297419;701;0.2;1;
 347;9;12.478075;55.699318;-159189;-810762;23;3.8;1;
 213;9;21.354865;62.434376;326486;-46750;10;-10.3;1;
 36;9;29.72358;70.636209;543449;914320;5;-3;1;
 242;9;5.352594;60.373857;-528851;-252368;37;9.6;1;
 265;9;9.271611;59.862366;-319849;-334803;654;-0.1;1;
 285;9;9.3899;58.842585;-323161;-448571;108;0.9;1;
 223;9;5.650936;61.452936;-495219;-135984;301;1.1;1;
 282;9;5.752447;58.816558;-531946;-427262;115;3.3;1;
 270;9;16.175966;60.14135;65176;-317400;108;-3.3;1;
 109;9;14.502093;67.278888;-21447;476334;42;-3;1;
 242;9;5.218434;60.449594;-534871;-242925;71;4;1;
 255;9;23.469654;59.960462;470733;-307091;21;17.6;1;
 228;9;12.891438;61.273804;-112718;-190125;0;-7.5;1;
 227;9;12.159972;61.326359;-151540;-182780;800;-5.8;1;
 284;9;8.042375;58.186108;-408415;-513771;70;3.2;1;
 266;9;10.773266;59.941069;-235569;-332551;132;-0.5;1;
 349;9;14.579688;56.053743;-26278;-774102;16;4.5;1;
 245;9;8.570854;60.679954;-349769;-240547;950;-4.9;1;
 325;9;9.891544;57.013361;-310530;-654502;26;4.5;1;
 173;9;20.338554;63.807128;261746;100623;38;-1.6;1;
 88;9;12.695159;67.666019;-97713;521189;10;-2.4;1;
 346;9;10.693513;56.195507;-267982;-749341;40;2.7;1;
 266;9;10.504102;59.879347;-251027;-338389;11;0;1;
 272;9;18.320533;59.47427;187798;-387434;43;-1.4;1;
 266;9;10.828623;59.647592;-234607;-365366;118;-3.8;1;
 175;9;23.353453;63.702369;410392;104795;24;-10.5;1;
 186;9;10.521011;63.39812;-222842;52033;175;-5.6;1;
 246;9;10.846064;60.711063;-225985;-247283;198;-2.5;1;
 173;9;20.195051;63.808069;254717;100151;20;8.8;1;
 244;9;8.003341;60.676001;-380574;-237762;922;-2.2;1;
 266;9;10.825231;59.90487;-232939;-336762;112;-0.7;1;
 325;9;9.822148;56.884409;-315899;-668532;48;4.2;1;
 289;9;15.040816;58.43993;2383;-507573;118;-2.6;1;
 245;9;8.552376;60.863065;-348731;-220173;623;-0.5;1;
 284;9;8.753055;58.461733;-363854;-487454;73;2.5;1;
 264;9;7.361348;59.763295;-427378;-334678;850;-1.6;1;
 307;9;11.914653;57.643978;-184297;-591974;12;3.2;1;
 173;9;20.205983;63.819234;255151;101432;13;-8.7;1;
 327;9;12.161905;57.31761;-171146;-629068;11;2.8;1;
 244;9;8.282153;60.612128;-366206;-246449;548;-0.9;1;
 51;9;19.000102;69.643583;155767;745351;0;-4.4;1;
 266;9;10.842569;59.889258;-232085;-338559;156;-1;1;
 224;9;8.213277;61.18375;-363247;-182805;1000;-6.5;1;
 266;9;10.687854;59.382216;-244494;-394338;30;-0.4;1;
 205;9;8.03841;62.776854;-353426;-5663;108;-2;1;
 266;9;9.959737;59.758957;-282413;-349501;6;0.3;1;
 246;9;10.949334;60.878135;-219204;-229087;145;-1.1;1;
 186;9;10.411897;63.400823;-228240;52716;42;-6.2;1;
 324;9;8.266963;56.447267;-415583;-708368;11;5.5;1;
 287;9;11.888088;58.364787;-181992;-511550;51;1;1;
 284;9;8.748735;58.457415;-364152;-487909;58;5.1;1;
 366;9;11.370226;55.403252;-230927;-840545;101;2.9;1;
 185;9;8.702845;62.965664;-317755;11753;45;-5.9;1;
 365;9;9.447816;55.214318;-354807;-852923;45;3.1;1;
 205;9;8.38846;62.22338;-342036;-68760;615;-7.7;1;
 129;9;14.159255;66.316712;-37616;369260;40;-6.7;1;
 173;9;21.207661;64.615571;295568;193945;10;-8.3;1;
 348;9;13.784383;55.93442;-76249;-786828;173;1.7;1;
 245;9;9.567503;60.220088;-300007;-296551;800;-4;1;
 226;9;9.754882;61.488908;-278179;-156694;832;-6.6;1;
 266;9;10.731835;59.929539;-237960;-333679;53;0.2;1;
 247;9;11.503435;60.393575;-192181;-284693;195;-3;1;
 367;9;11.883506;54.800409;-201576;-909806;9;3.6;1;
 242;9;5.303428;60.384903;-531341;-250747;17;8.4;1;
 309;9;14.362687;57.88454;-37816;-569353;163;1.5;1;
 348;9;13.144854;55.665343;-117224;-815999;16;3;1;
 309;9;14.139782;58.297905;-50425;-523078;142;-0.9;1;
 266;9;10.781449;59.936924;-235144;-333041;100;-0.6;1;
 256;9;24.806307;60.172141;540905;-273245;9;-0.2;1;
 225;9;8.902176;61.243289;-325864;-179906;852;-5.3;1;
 271;9;17.546845;59.950926;141966;-336386;39;1.2;1;
 256;9;24.881196;60.159402;545221;-274014;10;11.6;1;
 329;9;14.6497;56.872443;-21402;-682536;162;1.3;1;
 186;9;10.364925;63.346541;-231008;46863;159;-5.2;1;
 284;9;7.492197;58.809391;-432472;-441102;640;-2.5;1;
 224;9;7.719251;61.242288;-388843;-173442;15;3.4;1;
 344;9;8.98556;56.13801;-374599;-747223;52;4.1;1;
 271;9;18.097332;59.452633;175301;-390472;37;-1.4;1;
 348;9;14.084799;56.160592;-57047;-761820;26;2.3;1;
 325;9;9.971594;56.464769;-310466;-716042;0;4.2;1;
 350;9;15.655804;56.224539;40806;-754860;57;2.1;1;
 266;9;10.442494;59.820337;-254927;-344702;104;-1.2;1;
 266;9;10.620956;59.894154;-244401;-337194;40;-0.7;1;
 193;9;21.520256;63.054963;327970;22753;3;-9;1;
 303;9;6.981433;58.042691;-472381;-522400;36;-1;1;
 109;9;13.968364;67.141801;-44681;461323;26;-2.2;1;
 267;9;11.688321;59.477154;-187282;-387139;132;-1.6;1;
 284;9;7.861864;58.175519;-419099;-513784;168;2.3;1;
 266;9;10.911044;59.221213;-232996;-413067;17;1.1;1;
 305;9;10.031562;57.562246;-297303;-594031;18;5.6;1;
 266;9;10.403843;59.318995;-261073;-400249;74;16.7;1;
 344;9;9.052344;56.130004;-370534;-748502;55;5.4;1;
 222;9;5.050717;61.595865;-524316;-115506;6;1.5;1;
 133;9;21.741054;65.757759;307575;322907;4;-6.3;1;
 268;9;13.245944;59.940229;-97820;-339055;130;-2.6;1;
 347;9;12.338474;55.616396;-168380;-819690;7;3.6;1;
 108;9;13.279999;66.703245;-75797;413093;10;-1.2;1;
 246;9;11.175569;60.148944;-211800;-310851;202;-2.3;1;
 257;9;25.57355;60.46069;577600;-234855;16;-2.6;1;
 266;9;10.822135;59.952134;-232770;-331499;196;-0.7;1;
 347;9;12.625085;55.651054;-150113;-816519;5;2.9;1;
 264;9;7.462989;59.087342;-430524;-410136;752;0.5;1;
 173;9;20.210098;63.818415;255360;101357;13;-9.6;1;
 283;9;7.041763;58.39385;-464009;-483964;374;2.5;1;
 266;9;10.292702;59.496607;-265928;-380058;132;0.9;1;
 188;9;12.543464;63.328078;-122586;38823;544;-9.2;1;
 256;9;24.952291;60.18736;548633;-270334;65;0.7;1;
 264;9;7.32203;59.781199;-429330;-332436;870;1.6;1;
 284;9;8.086989;58.191337;-405744;-513473;16;1;1;
 242;9;5.369309;60.351277;-528316;-254991;106;9.5;1;
 266;9;10.842642;59.888021;-232090;-338697;161;-1.4;1;
 307;9;11.829958;58.106805;-186807;-540130;14;2.6;1;
 243;9;6.019704;60.30363;-493616;-265407;320;1.9;1;
 253;9;19.957877;60.120573;274704;-309714;25;-2.8;1;
 237;9;26.029877;61.188229;588470;-150900;102;-4.5;1;
 263;9;6.902123;59.013125;-463436;-414448;723;-1.7;1;
 284;9;7.418134;58.607081;-439372;-463001;285;-0.6;1;
 286;9;10.249345;59.154533;-271186;-417886;40;0.3;1;
 246;9;11.005173;60.824741;-216555;-235206;138;-1;1;
 284;9;7.935494;58.152039;-415081;-516865;72;3.2;1;
 266;9;11.064492;59.262867;-223980;-408980;34;0.6;1;
 265;9;9.578784;59.210544;-308853;-408640;37;0.6;1;
 266;9;10.788539;59.930324;-234798;-333800;104;0.1;1;
 246;9;11.027604;60.807791;-215457;-237164;133;-1.9;1;
 266;9;10.787788;59.881869;-235193;-339182;138;-1.7;1;
 292;9;18.118116;59.018499;178821;-438732;13;-1.9;1;
 266;9;10.776557;59.952595;-235302;-331282;144;-0.3;1;
 249;9;15.11796;60.833077;6397;-241001;270;-4.9;1;
 345;9;9.847386;55.830836;-323799;-786171;56;3.7;1;
 242;9;5.294237;60.298249;-533291;-260207;38;1.5;1;
 262;9;5.240041;59.288871;-553242;-370874;38;4.8;1;
 266;9;10.778021;59.900033;-235605;-337127;115;-1.3;1;
 185;9;8.985673;63.5991;-296948;80515;10;-0.6;1;
 347;9;11.714762;55.94008;-205956;-781653;4;3.9;1;
 242;9;5.164558;60.731176;-533020;-211504;19;3.4;1;
 266;9;10.449164;59.426051;-257660;-388534;73;-0.5;1;
 366;9;11.684776;55.355083;-211213;-847019;21;4.5;1;
 266;9;11.034395;60.07584;-220110;-318501;182;-2.4;1;
 256;9;25.010436;60.180197;551936;-270624;4;-1.2;1;
 345;9;9.373922;55.786795;-353911;-788592;90;3.1;1;
 246;9;10.843196;60.112373;-230445;-313771;130;-1.2;1;
 186;9;9.712718;63.048162;-266169;16304;145;-5.4;1;
 266;9;10.8016;59.917251;-234166;-335300;96;-0.8;1;
 246;9;10.158041;60.132911;-268190;-308834;117;0.1;1;
 308;9;13.293709;57.839317;-101371;-573243;215;2.2;1;
 266;9;10.414821;59.266238;-260869;-406156;16;0.3;1;
 345;9;10.110119;56.193599;-304235;-746959;70;2.9;1;
 174;9;23.119875;63.827699;397223;117152;8;-10;1;
 286;9;10.418509;59.069431;-262221;-428047;25;1.1;1;
 345;9;10.109554;56.126822;-304839;-754409;63;3.4;1;
 266;9;10.766417;59.944874;-235923;-332103;84;-1;1;
 184;9;7.726042;63.119801;-364914;33982;36;-1.1;1;
 156;9;25.45142;64.942773;490320;256002;2;21.4;1;
 257;9;25.603969;60.344499;581370;-247338;6;-0.6;1;
 266;9;11.00486;59.265074;-227354;-408526;43;0.1;1;
 271;9;17.55924;59.405305;145074;-397080;13;-1.4;1;
 271;9;17.910189;59.413817;164912;-395286;42;0.3;1;
 242;9;5.332228;60.456415;-528582;-243115;148;0;1;
 307;9;11.831407;57.848074;-188144;-568974;25;3;1;
 242;9;5.323494;60.382265;-530294;-251203;15;4.9;1;
 205;9;8.523761;62.743417;-329246;-11937;67;-5.4;1;
 347;9;12.2223;55.62945;-175662;-817918;27;3.5;1;
 262;9;5.731941;59.005777;-530088;-406220;5;4;1;
 203;9;6.305778;62.471521;-445482;-28604;23;0.3;1;
 266;9;10.79289;59.862658;-235048;-341335;104;-1.1;1;
 256;9;24.939732;60.154871;548503;-274015;3;1.5;1;
 312;9;18.121516;57.500181;187235;-607908;11;0.5;1;
 325;9;10.035369;57.013031;-301808;-655223;10;4.5;1;
 184;9;6.544938;62.862809;-427595;12897;3;0.8;1;
 269;9;14.351111;59.390866;-36808;-401390;119;-2;1;
 198;9;27.7014;62.831056;640710;44697;89;-10.2;1;
 291;9;17.56001;59.094918;146494;-431635;46;-1.9;1;
 325;9;9.965779;57.040744;-305788;-651806;33;3.9;1;
 347;9;12.505221;55.747931;-157265;-805386;46;4.8;1;
 227;9;12.227296;61.292811;-148111;-186665;589;-6.4;1;
 187;9;12.157146;63.265516;-142160;32667;639;-10.1;1;
 266;9;10.601628;59.883599;-245558;-338293;21;0.1;1;
 128;9;13.738827;66.275298;-56515;364955;28;-11;1;
 324;9;8.279665;56.583646;-413211;-693277;16;4.8;1;
 245;9;9.138896;60.550102;-320270;-257892;162;0.3;1;
 242;9;5.367837;60.367942;-528120;-253145;104;1.1;1;
 365;9;9.829423;54.986916;-332525;-880383;13;4.3;1;
 344;9;8.772384;55.944533;-389930;-767520;19;3.5;1;
 266;9;10.220481;59.600283;-269143;-368240;30;0;1;
 290;9;15.718261;58.33531;42058;-519008;80;-0.7;1;
 246;9;10.958215;60.888275;-218653;-227992;195;-1.8;1;
 186;9;10.448769;63.435267;-226138;56406;51;-2.4;1;
 256;9;24.139633;60.266679;502899;-268245;64;-2.8;1;
 206;9;9.976749;62.778529;-255245;-14652;394;-6.1;1;
 365;9;9.703197;55.257576;-338126;-849465;9;3.6;1;
 347;9;12.511916;55.768064;-156756;-803149;30;2.5;1;
 129;9;14.112588;66.334994;-39676;371324;24;-8.7;1;
 365;9;10.135848;55.220413;-310878;-855803;21;2.1;1;
 263;9;6.944248;59.017972;-460971;-414215;596;-1.1;1;
 254;9;22.176885;60.494726;392584;-256730;29;-3.7;1;
 271;9;18.035695;59.247374;172894;-413481;39;-1.8;1;
 186;9;10.585701;63.38592;-219722;50457;170;-6.8;1;
 251;9;17.729973;60.474468;149694;-277737;10;-2.2;1;
 115;9;25.66985;66.51315;471598;430113;150;-10.9;1;
 347;9;12.546278;55.687933;-154935;-812203;8;2.1;1;
 133;9;22.188946;65.599674;329892;307632;26;-4.3;1;
 242;9;5.302187;60.427447;-530697;-246056;99;18.4;1;
 266;9;10.813267;59.76977;-234584;-351731;104;-0.9;1;
 348;9;13.072661;55.577328;-122080;-825723;0;7.6;1;
 266;9;10.664862;59.925085;-241722;-333924;30;-0.1;1;
 270;9;16.461449;59.782207;81905;-357055;62;-2.6;1;
 347;9;12.439052;55.695921;-161666;-811045;15;4.1;1;
 347;9;12.558928;55.660162;-154254;-815343;2;2.8;1;
 347;9;11.976829;55.604198;-191308;-820044;14;3.4;1;
 307;9;11.569279;58.272529;-201168;-520879;21;0.5;1;
 186;9;10.404868;63.404688;-228559;53169;49;-4.5;1;
 108;9;13.287483;66.703344;-75467;413095;3;5.3;1;
 271;9;17.939864;59.280847;167270;-410009;45;-1.6;1;
 266;9;10.622845;59.896229;-244280;-336971;200;-0.5;1;
 33;9;23.66226;70.668649;321072;877132;0;-2.5;1;
 347;9;12.356092;55.975863;-165611;-779503;11;4.6;1;
 109;9;14.404916;67.280356;-25632;476534;8;-3;1;
