itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
 366;9;11.647935;55.184625;-214554;-865986;13;2.8;1;
 266;9;10.20513;59.747743;-268782;-351798;32;0.3;1;
 53;9;23.27067;69.962963;316796;796694;44;-3.4;1;
 256;9;24.799443;60.513176;534767;-235781;78;-4.4;1;
 109;9;15.390834;67.26383;16845;474623;32;-6.9;1;
 271;9;17.703946;59.816934;151345;-350936;42;-1.9;1;
 346;9;11.618023;55.801208;-212833;-796871;47;9.5;1;
 307;9;12.305279;57.787306;-160308;-577035;54;3.5;1;
 347;9;12.309645;56.123999;-167825;-762811;6;2.7;1;
 129;9;14.551221;66.250638;-20131;361725;525;-12;1;
 242;9;5.120032;60.367228;-541613;-251162;49;4.3;1;
 345;9;10.193659;56.124469;-299625;-755067;64;3.1;1;
 285;9;9.290952;58.893924;-328338;-442369;87;1.4;1;
 347;9;12.506451;55.963971;-156249;-781210;28;3.1;1;
 348;9;12.991665;55.798755;-126434;-800769;14;2.1;1;
 266;9;10.770814;59.926917;-235810;-334114;46;1.4;1;
 272;9;18.678873;59.605867;207206;-371697;21;-1.5;1;
 344;9;8.141048;55.658796;-432724;-795324;7;3.7;1;
 347;9;12.483119;55.786828;-158487;-800978;38;5.5;1;
 347;9;12.529329;55.648397;-156174;-816588;2;4.8;1;
 256;9;24.856577;60.2465;542393;-264640;30;16.8;1;
 262;9;5.645314;59.011149;-534921;-404910;13;4;1;
 186;9;10.429363;63.415627;-227256;54296;111;-5.2;1;
 347;9;12.589821;55.619354;-152474;-819986;6;3.3;1;
 271;9;18.029281;59.304401;172230;-407151;29;-0.8;1;
 71;9;18.735849;69.082091;149138;681981;484;23;1;
 256;9;24.729095;60.448003;532051;-243535;61;-5.6;1;
 266;9;11.055474;59.270289;-224442;-408123;59;11.7;1;
 242;9;5.148806;60.419663;-539157;-245636;54;12.6;1;
 286;9;10.048097;59.054959;-283505;-428083;62;0.9;1;
 307;9;11.706408;58.065222;-194319;-544398;20;2;1;
 369;9;15.143931;55.105412;9237;-880455;15;7.6;1;
 347;9;12.51228;55.742445;-156844;-806018;32;4.5;1;
 290;9;15.896419;59.123173;51265;-431045;64;-2.5;1;
 156;9;25.467541;65.004007;489965;262848;4;-4.3;1;
 186;9;10.3958;63.417031;-228911;54571;73;-3.6;1;
 266;9;10.802948;59.909622;-234146;-336153;154;-0.6;1;
 135;9;24.056619;65.836587;411387;344564;10;-7.2;1;
 325;9;9.634463;56.970843;-326518;-657965;40;5.5;1;
 266;9;10.817019;59.87683;-233599;-339848;157;-0.8;1;
 262;9;5.479657;59.761381;-531996;-320852;14;2.7;1;
 266;9;10.798337;59.960836;-234030;-330446;263;-2.7;1;
 266;9;10.753219;59.926922;-236789;-334049;22;1.4;1;
 51;9;19.012038;69.641494;156246;745146;64;-4.2;1;
 329;9;14.583084;56.998671;-25380;-668402;170;1.3;1;
 290;9;15.931098;59.17764;53160;-424948;69;-3.6;1;
 203;9;5.62994;62.32335;-482267;-40043;22;1.1;1;
 242;9;5.370301;60.36641;-528011;-253334;112;15.8;1;
 285;9;9.713885;59.029491;-302831;-429389;71;0.6;1;
 292;9;18.420361;59.137554;195434;-424601;19;-2;1;
 186;9;10.506427;63.43357;-223291;56016;8;-6.1;1;
 246;9;11.171966;60.133964;-212099;-312504;198;-1.6;1;
 266;9;10.902517;59.788004;-229461;-350027;140;-1.8;1;
 307;9;11.967913;57.475537;-182005;-610914;20;2.7;1;
